FeatureCode,DateCode,Measurement,Units,Value
S01006888,2014,Count,Hectares,4991.186
S01006889,2014,Count,Hectares,29.333
S01006890,2014,Count,Hectares,18.681
S01006891,2014,Count,Hectares,33.186
S01006892,2014,Count,Hectares,14.257
S01006894,2014,Count,Hectares,27.653
S01006895,2014,Count,Hectares,24.034
S01006896,2014,Count,Hectares,34.282
S01006897,2014,Count,Hectares,14.285
S01006898,2014,Count,Hectares,33.057
S01006899,2014,Count,Hectares,13.728
S01006900,2014,Count,Hectares,13.525
S01006901,2014,Count,Hectares,18.291
S01006902,2014,Count,Hectares,15.749
S01006903,2014,Count,Hectares,26.466
S01006904,2014,Count,Hectares,36.016
S01006905,2014,Count,Hectares,35.72
S01006906,2014,Count,Hectares,22.854
S01006907,2014,Count,Hectares,62.373
S01006908,2014,Count,Hectares,14.767
S01006909,2014,Count,Hectares,766.995
S01006910,2014,Count,Hectares,2379.99
S01006911,2014,Count,Hectares,79.593
S01006912,2014,Count,Hectares,2923.799
S01006913,2014,Count,Hectares,980.463
S01006914,2014,Count,Hectares,2968.976
S01006915,2014,Count,Hectares,2910.52
S01006916,2014,Count,Hectares,48.964
S01006917,2014,Count,Hectares,27.041
S01006918,2014,Count,Hectares,13.904
S01006919,2014,Count,Hectares,13.858
S01006920,2014,Count,Hectares,20.651
S01006921,2014,Count,Hectares,17.227
S01006922,2014,Count,Hectares,1790.818
S01006923,2014,Count,Hectares,780.586
S01006924,2014,Count,Hectares,3078.961
S01006925,2014,Count,Hectares,11.307
S01006926,2014,Count,Hectares,21.108
S01006927,2014,Count,Hectares,19.747
S01006928,2014,Count,Hectares,1562.767
S01006929,2014,Count,Hectares,40.365
S01006930,2014,Count,Hectares,30.838
S01006931,2014,Count,Hectares,1750.327
S01006932,2014,Count,Hectares,75.677
S01006933,2014,Count,Hectares,12.705
S01006934,2014,Count,Hectares,1215.868
S01006935,2014,Count,Hectares,15.969
S01006936,2014,Count,Hectares,17.418
S01006937,2014,Count,Hectares,19.91
S01006938,2014,Count,Hectares,13.691
S01006939,2014,Count,Hectares,17.77
S01006940,2014,Count,Hectares,35.291
S01006941,2014,Count,Hectares,98.719
S01006942,2014,Count,Hectares,36.623
S01006943,2014,Count,Hectares,12.481
S01006944,2014,Count,Hectares,23.697
S01006945,2014,Count,Hectares,12.809
S01006946,2014,Count,Hectares,729.013
S01006947,2014,Count,Hectares,18.549
S01006948,2014,Count,Hectares,1442.388
S01006949,2014,Count,Hectares,1501.086
S01006950,2014,Count,Hectares,22.467
S01006951,2014,Count,Hectares,12.298
S01006952,2014,Count,Hectares,2075.826
S01006953,2014,Count,Hectares,347.041
S01006954,2014,Count,Hectares,642.354
S01006955,2014,Count,Hectares,14.08
S01006956,2014,Count,Hectares,23.86
S01006957,2014,Count,Hectares,2503.524
S01006958,2014,Count,Hectares,93.306
S01006959,2014,Count,Hectares,33.72
S01006960,2014,Count,Hectares,20.794
S01006961,2014,Count,Hectares,19.05
S01006962,2014,Count,Hectares,24.987
S01006963,2014,Count,Hectares,19.458
S01006964,2014,Count,Hectares,15.245
S01006966,2014,Count,Hectares,13.06
S01006967,2014,Count,Hectares,10.633
S01006968,2014,Count,Hectares,14.461
S01006969,2014,Count,Hectares,20.825
