"LSOA11CD","LSOA11NM","RUC11CD","RUC11","FID","Mid-2017 population","Area Sq Km","People per Sq Km","LSOA Name (Eng)","LSOA Name - 
ONS classification","Local Authority Name (Eng)","WIMD 2014 Overall Rank(r)","WIMD 2014 Overall Decile","WIMD 2014 Overall Quintile","WIMD 2014 Overall Quartile"
"W01001486","Torfaen 002E","C1","Urban city and town",34208,"1480","2.2528999999999999","656.9310666252386","Abersychan 5","Torfaen 002E","Torfaen",853,5,3,2
"W01001487","Torfaen 001A","D1","Rural town and fringe",34209,"1635","6.4040999999999997","255.30519510938308","Blaenavon 1","Torfaen 001A","Torfaen",685,4,2,2
"W01001488","Torfaen 001B","D1","Rural town and fringe",34210,"1649","0.3886","4243.4379825012866","Blaenavon 2","Torfaen 001B","Torfaen",196,2,1,1
"W01001489","Torfaen 001C","D1","Rural town and fringe",34211,"1583","10.833","146.1275731560971","Blaenavon 3","Torfaen 001C","Torfaen",573,3,2,2
"W01001490","Torfaen 001D","D1","Rural town and fringe",34212,"1410","0.2041","6908.3782459578633","Blaenavon 4","Torfaen 001D","Torfaen",1336,7,4,3
"W01001491","Torfaen 004A","C1","Urban city and town",34213,"1767","0.38040000000000002","4645.1104100946368","Brynwern","Torfaen 004A","Torfaen",441,3,2,1
"W01001492","Torfaen 012A","C1","Urban city and town",34214,"2485","0.74379999999999991","3340.9518687819309","Coed Eva","Torfaen 012A","Torfaen",1101,6,3,3
"W01001493","Torfaen 008A","C1","Urban city and town",34215,"1896","0.37270000000000003","5087.2015025489663","Croesyceiliog North 1","Torfaen 008A","Torfaen",886,5,3,2
"W01001494","Torfaen 008B","C1","Urban city and town",34216,"1548","0.73419999999999996","2108.4173249795699","Croesyceiliog North 2","Torfaen 008B","Torfaen",1580,9,5,4
"W01001310","Merthyr Tydfil 002E","C1","Urban city and town",34217,"1632","0.44600000000000001","3659.1928251121076","Penydarren 3","Merthyr Tydfil 002E","Merthyr Tydfil",948,5,3,2
"W01001311","Merthyr Tydfil 002F","C1","Urban city and town",34218,"1186","0.15079999999999999","7864.7214854111407","Penydarren 4","Merthyr Tydfil 002F","Merthyr Tydfil",495,3,2,2
"W01001312","Merthyr Tydfil 006E","C1","Urban city and town",34219,"1550","18.080200000000001","85.729140164378705","Plymouth (Merthyr Tydfil) 1","Merthyr Tydfil 006E","Merthyr Tydfil",439,3,2,1
"W01001313","Merthyr Tydfil 006F","C1","Urban city and town",34220,"1524","1.4359","1061.3552475799152","Plymouth (Merthyr Tydfil) 2","Merthyr Tydfil 006F","Merthyr Tydfil",545,3,2,2
"W01001314","Merthyr Tydfil 005A","C1","Urban city and town",34221,"2246","1.6238999999999999","1383.0900917544184","Plymouth (Merthyr Tydfil) 3","Merthyr Tydfil 005A","Merthyr Tydfil",722,4,2,2
"W01001315","Merthyr Tydfil 004D","C1","Urban city and town",34222,"1767","0.56169999999999998","3145.8073704824642","Town 1","Merthyr Tydfil 004D","Merthyr Tydfil",335,2,1,1
"W01001316","Merthyr Tydfil 005B","C1","Urban city and town",34223,"2980","0.93590000000000007","3184.1008654770808","Town 2","Merthyr Tydfil 005B","Merthyr Tydfil",1283,7,4,3
"W01001317","Merthyr Tydfil 005C","C1","Urban city and town",34224,"1645","5.7402999999999995","286.57038830723133","Town 3","Merthyr Tydfil 005C","Merthyr Tydfil",408,3,2,1
"W01001318","Merthyr Tydfil 005D","C1","Urban city and town",34225,"1561","0.4163","3749.6997357674754","Town 4","Merthyr Tydfil 005D","Merthyr Tydfil",1055,6,3,3
"W01001319","Merthyr Tydfil 007B","C1","Urban city and town",34226,"1796","1.3644000000000001","1316.3295221342714","Treharris 1","Merthyr Tydfil 007B","Merthyr Tydfil",1596,9,5,4
"W01001320","Merthyr Tydfil 007C","C1","Urban city and town",34227,"1396","1.1098000000000001","1257.8843034781041","Treharris 2","Merthyr Tydfil 007C","Merthyr Tydfil",779,5,3,2
"W01001321","Merthyr Tydfil 007D","C1","Urban city and town",34228,"1543","4.9776999999999996","309.98252204833562","Treharris 3","Merthyr Tydfil 007D","Merthyr Tydfil",448,3,2,1
"W01001322","Merthyr Tydfil 007E","C1","Urban city and town",34229,"1586","0.62549999999999994","2535.5715427657874","Treharris 4","Merthyr Tydfil 007E","Merthyr Tydfil",452,3,2,1
"W01001324","Merthyr Tydfil 003E","C1","Urban city and town",34230,"2079","3.8036000000000003","546.58744347460299","Vaynor 2","Merthyr Tydfil 003E","Merthyr Tydfil",1081,6,3,3
"W01001325","Caerphilly 003A","C1","Urban city and town",34231,"1763","1.9759","892.25163216761985","Aberbargoed 1","Caerphilly 003A","Caerphilly",219,2,1,1
